,Rank,Country or Region,Representation,Percentage,Players
0,1,China,23,29%,"Banana, BurNIng, DD, Faith, Ferrari 430, Hao, Icy, Kabu, KingJ, LaNm, Luo, MMY!, Mu, QQQ, rOtK, Sag, SanSheng, Super, Sylar, xiao8, Yao, YYF, Zhou"
1,2,Malaysia,13,16%,"ChuaN, dabeliuteef, FzFz, Ice, kYxY, Ling, Mushi, Net, Ohaiyo, TooFuckingGood, WinteR, XtiNcT, YamateH"
2,3,United States,8,10%,"Brax, Bulba, FLUFFNSTUFF, Fogged, ixmike88, Korok, Sneyking, Universe"
3,4,Sweden,7,9%,"AdmiralBulldog, Akke, EGM, Era, Loda, Pajkatt, s4"
4,5,Germany,6,8%,"Black^, FATA-, H4nn1, KuroKy, paS, qojqva"
5,6,Russia,5,6%,"ARS-ART, Crazy, God, Illidan, NS"
6,7,Canada,4,5%,"1437, Aui_2000, TC, Waytosexy"
7,7,Ukraine,4,5%,"Dendi, Funn1k, KSi, XBOCT"
8,9,Denmark,3,4%,"BigDaddy, MiSeRY, syndereN"
9,9,Singapore,3,4%,"iceiceice, xFreedom, xy-"
10,11,Estonia,1,1%,Puppey
11,11,Finland,1,1%,Trixi
12,11,Israel,1,1%,Fly
13,11,Macau,1,1%,ddc
